name,description,tags,hq,employee_range,founded_year,funding
Pogo,Help over 2M+ users earn and save by unlocking the power of their data; engagement on par with Instagram & Twitter; 7-figure revenue per employee.,"Consumer, Mobile App, FinTech","Brooklyn, New York, USA",11-50 employees,2020,20VC Josh Buckley Founders of Honey & Carta Series A in 2025
Render,"Help 2M+ developers build, deploy, and scale apps with unparalleled ease","SaaS, Enterprise Software, Developer Tools","San Francisco Bay Area, California, USA",51-100 employees,2018,Bessemer General Catalyst $80M Series C in 2025
Listen Labs,Listen Labs is an autonomous market researcher that makes deep customer conversations fast and scalable.,"Artificial Intelligence, Enterprise Software","San Francisco Bay Area, California, USA",11-50 employees,2023,Sequoia $27M Series A in 2025
Rilla,Building the leading conversation intelligence software for offline commerce,"Artificial Intelligence, Sales","New York, New York, USA",101-200 employees,2019,Crew Capital Bessemer Ventures Google Ventures $40M Series B in 2025
Pylon,Building all-in-one B2B post-sales support platform powered by conversational data and layered with intelligence,"Artificial Intelligence, SaaS, Enterprise Software","San Francisco Bay Area, California, USA",101-200 employees,2022,Y Combinator Andreessen Horowitz BCV General Catalyst $51M Series B in 2025
Blossom,"Building AI Copilots & Agents for Psychiatry. Come make mental healthcare affordable, accessible, and clinically-effective for every American.","Artificial Intelligence, Healthcare","New York, New York, USA",1-10 employees,2024,Headline Village Global Operator Partners Correlation Ventures Founder of General Catalyst $20M Series A in 2025
Adaptive Security,Protecting companies from AI-powered attacks,"Artificial Intelligence, Cybersecurity, Enterprise Software","New York, New York, USA",101-200 employees,2024,Andreessen Horowitz OpenAI NVIDIA Bain Capital Ventures $81M Series B in 2025
Avoca,Building the AI Workforce for Service Businesses,Artificial Intelligence,"New York, New York, USA",11-50 employees,2023,Y Combinator Seed in 2023
Traba,Building AI agents and other technologies to completely disrupt the industrial supply chain.,"Marketplace, Supply Chain, Artificial Intelligence","New York, New York, USA",101-200 employees,2021,Founders Fund Khosla Ventures General Catalyst $45M Series A in 2023
Harmonic,,"Building mathematical superintelligence, Artificial Intelligence","San Francisco Bay Area, California, USA",11-50 employees,2023,Sequoia Kleiner Perkins $100M Series B in 2025
